output,component,pair,S2,S2_conf
avg_verify_rate,stochastic,tpr*loss_aversion,0.023688906595562047,0.08361619731432623
avg_verify_rate,stochastic,fpr*p_fake,-0.004398705048700713,0.08780674846223306
avg_verify_rate,stochastic,fpr*log10_lambda,0.012616056357969599,0.10327751892940254
avg_verify_rate,stochastic,fpr*loss_aversion,0.022297672073662768,0.06430885620543353
avg_verify_rate,stochastic,p_fake*log10_lambda,0.06224535405528127,0.2421608509884698
avg_verify_rate,stochastic,p_fake*loss_aversion,-0.13899858012531677,0.17187911889121424
avg_verify_rate,stochastic,log10_lambda*loss_aversion,0.038496697646180474,0.12139459154075107
avg_payoff,deterministic,v_cost*loss,-0.003153213317761588,0.007789266308675968
avg_payoff,deterministic,v_cost*tpr,-0.003009278305382279,0.007895155692653475
avg_payoff,deterministic,v_cost*fpr,-0.003333227028667389,0.008134832979457421
avg_payoff,deterministic,v_cost*p_fake,-0.0007721772912060443,0.007993348846709717
avg_payoff,deterministic,v_cost*log10_lambda,-0.0027765126335581244,0.008584488181221503
avg_payoff,deterministic,v_cost*loss_aversion,-0.0024406974478622576,0.007875444237504792
avg_payoff,deterministic,loss*tpr,0.0072381248623112175,0.025659241175470894
avg_payoff,deterministic,loss*fpr,0.009561398191718796,0.02634827762245654
avg_payoff,deterministic,loss*p_fake,0.020875465250742797,0.031191419109098457
avg_payoff,deterministic,loss*log10_lambda,0.01266821478029323,0.027868632395103912
avg_payoff,deterministic,loss*loss_aversion,0.00534826097258972,0.025628028518223774
avg_payoff,deterministic,tpr*fpr,2.9164575480265797e-05,0.02070351975368192
avg_payoff,deterministic,tpr*p_fake,0.0017341973701160418,0.01994917252034969
avg_payoff,deterministic,tpr*log10_lambda,-0.002015042318372892,0.02064284771849567
avg_payoff,deterministic,tpr*loss_aversion,-0.0004324665080605399,0.020053540973863127
avg_payoff,deterministic,fpr*p_fake,0.008246955288227276,0.03275867888247815
avg_payoff,deterministic,fpr*log10_lambda,0.0008542047830570471,0.029210712989656433
avg_payoff,deterministic,fpr*loss_aversion,1.4446765412010456e-05,0.02895741770613982
avg_payoff,deterministic,p_fake*log10_lambda,0.05276038609853427,0.13490154144861535
avg_payoff,deterministic,p_fake*loss_aversion,-0.008004579485870888,0.12007284251308918
avg_payoff,deterministic,log10_lambda*loss_aversion,-0.00034465684379734215,0.042929892900573696
avg_payoff,stochastic,v_cost*loss,0.003706356535807729,0.028414607467907534
avg_payoff,stochastic,v_cost*tpr,0.004425912647711375,0.03222856943714802
avg_payoff,stochastic,v_cost*fpr,0.016958938732362212,0.03824787879578555
avg_payoff,stochastic,v_cost*p_fake,-0.014101026114917037,0.03641165548332813
avg_payoff,stochastic,v_cost*log10_lambda,0.016042710171747104,0.040009191832476414
avg_payoff,stochastic,v_cost*loss_aversion,0.008572637772475897,0.029009821984178244
avg_payoff,stochastic,loss*tpr,0.018350112362620963,0.05053615173238378
avg_payoff,stochastic,loss*fpr,-0.009335736934597487,0.052260116534512326
avg_payoff,stochastic,loss*p_fake,-7.371776327794177e-05,0.06901430878762053
avg_payoff,stochastic,loss*log10_lambda,0.011797096506700855,0.055735171986944596
avg_payoff,stochastic,loss*loss_aversion,-0.003384728765824854,0.053832951500684394
avg_payoff,stochastic,tpr*fpr,-0.016932296401696474,0.058205902862694454
